year,Base case cost,Modeled solar power (pv)
2016,212335.903171,226919.418698
2017,253373.4234,267338.268662
2018,284345.026792,297869.984333
2019,327145.940589,340054.260965
2020,347629.724302,360280.111694
2021,362600.352753,375079.585079
2022,373067.040856,385443.532341
2023,381918.985096,394227.138643
2024,388124.381635,400397.797035
2025,395705.516627,407929.170409
2026,405777.991539,417921.413648
2027,414535.936701,426616.471465
2028,421414.628966,433464.787497
2029,431356.671049,443330.998453
2030,436920.833563,448882.191229
2031,446944.487249,458832.692631
2032,457314.261573,469130.872311
2033,467437.015062,479183.568558
2034,478724.919921,490388.1012
2035,485579.56591,497219.964683
