year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,31077.56,1799.8,35783.73,36029.21
2018,31077.56,1797.57,35783.73,36029.21
2019,31077.56,1795.5,35783.73,36029.21
2020,31077.56,1793.38,35783.73,36029.21
2021,31178.66,1791.2,35783.73,36029.21
2022,31178.66,1789.5,35783.73,36029.21
2023,31178.66,1787.83,35783.73,37051.76
2024,31178.66,1786.54,35783.73,37051.76
2025,31178.66,1784.82,35783.73,37051.76
2026,31279.75,1782.53,35783.73,37051.76
2027,31279.75,1780.17,35783.73,37051.76
2028,31279.75,1777.61,35783.73,37051.76
2029,31380.84,1775.2,35783.73,37051.76
2030,31380.84,1772.67,35783.73,38074.3
2031,31380.84,1770.68,35783.73,38074.3
2032,31380.84,,,38074.3
2033,31481.93,,,38074.3
2034,31481.93,,,38074.3
2035,31481.93,,,38074.3
2036,31481.93,,,38074.3
