year,Base case cost,Modeled biomass for heat (cordwood)
2017,147816.267881,157315.380262
2018,158909.307881,165517.759098
2019,173580.747881,176366.066589
2020,180737.547881,181657.923902
2021,185747.307881,185362.224021
2022,189325.707881,188008.152678
2023,191830.587881,189860.302737
2024,193977.627881,191447.859931
2025,196482.507881,193300.009991
2026,199345.227881,195416.752916
2027,201850.107881,197268.902976
2028,203997.147881,198856.460169
2029,206859.867881,200973.203095
2030,208649.067881,202296.167423
2031,211869.627881,204677.503214
2032,,
2033,,
2034,,
2035,,
2036,,
