year,population
2003,106.0
2004,106.0
2005,94.0
2006,84.0
2007,85.0
2008,82.0
2009,99.0
2010,96.0
2011,96.0
2012,96.0
2013,97.0
2014,97.0
2015,97.0
2016,97.0
2017,98.0
2018,98.0
2019,98.0
2020,99.0
2021,99.0
2022,99.0
2023,100.0
2024,100.0
2025,100.0
2026,100.0
2027,101.0
2028,101.0
2029,101.0
2030,102.0
2031,102.0
2032,102.0
2033,103.0
2034,103.0
2035,103.0
2036,104.0
2037,104.0
2038,104.0
2039,104.0
2040,105.0
