year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,226.08,251116.0,0.0,251116.0
2004,,226.08,407200.0,0.0,407200.0
2005,,226.08,276070.0,0.0,276070.0
2006,,226.08,130189.0,0.0,130189.0
2007,,226.08,108520.0,0.0,108520.0
2008,,226.08,259170.0,0.0,259170.0
2009,,226.08,296654.0,0.0,296654.0
2010,,226.08,360697.0,0.0,360697.0
2011,,226.08,333242.0,0.0,333242.0
2012,,226.08,320596.0,0.0,320596.0
2013,,226.08,286550.0,0.0,286550.0
2014,start of forecast,226.08,311000.0,4577.0,306423.0
2015,,226.08,311000.0,4577.0,306423.0
2016,,226.08,311000.0,4577.0,306423.0
2017,,226.08,312000.0,4577.0,307423.0
2018,,226.08,312000.0,4577.0,307423.0
2019,,226.08,312000.0,4577.0,307423.0
2020,,226.08,312000.0,4577.0,307423.0
2021,,226.08,313000.0,4577.0,308423.0
2022,,226.08,313000.0,4577.0,308423.0
2023,,226.08,313000.0,4577.0,308423.0
2024,,226.08,313000.0,4577.0,308423.0
2025,,226.08,313000.0,4577.0,308423.0
2026,,226.08,314000.0,4577.0,309423.0
2027,,226.08,314000.0,4577.0,309423.0
2028,,226.08,314000.0,4577.0,309423.0
2029,,226.08,315000.0,4577.0,310423.0
2030,,226.08,315000.0,4577.0,310423.0
2031,,226.08,315000.0,4577.0,310423.0
2032,,226.08,315000.0,4577.0,310423.0
2033,,226.08,316000.0,4577.0,311423.0
2034,,226.08,316000.0,4577.0,311423.0
2035,,226.08,316000.0,4577.0,311423.0
2036,,226.08,316000.0,4577.0,311423.0
2037,,226.08,317000.0,4577.0,312423.0
2038,,226.08,317000.0,4577.0,312423.0
2039,,226.08,317000.0,4577.0,312423.0
2040,,226.08,317000.0,4577.0,312423.0
