year,Base case cost,Modeled non-residential energy efficiency
2017,250078.983905,262365.339527
2018,266378.514854,277311.160838
2019,287935.959012,297078.214831
2020,298451.785431,306720.680193
2021,305812.863924,313470.405946
2022,311070.777133,318291.638627
2023,314751.31638,321666.501504
2024,317906.064305,324559.241112
2025,321586.603552,327934.103989
2026,325792.93412,331791.090134
2027,329473.473366,335165.953011
2028,332628.221292,338058.692619
2029,336834.551859,341915.678764
2030,339463.508464,344326.295105
2031,344195.630352,348665.404517
