year,Base case diesel consumed,Modeled non-residential ashp
2017,17001.3146336,11919.8621503
2018,17001.3146336,11919.8621503
2019,17001.3146336,11919.8621503
2020,17001.3146336,11919.8621503
2021,17001.3146336,11919.8621503
2022,17001.3146336,11919.8621503
2023,17001.3146336,11919.8621503
2024,17001.3146336,11919.8621503
2025,17001.3146336,11919.8621503
2026,17001.3146336,11919.8621503
2027,17001.3146336,11919.8621503
2028,17001.3146336,11919.8621503
2029,17001.3146336,11919.8621503
2030,17001.3146336,11919.8621503
2031,17001.3146336,11919.8621503
