year,Base case cost,Modeled water and wastewater efficiency
2017,85536.8536089,70250.9576437
2018,87930.7117121,71595.9771458
2019,91194.5604872,73512.0942714
2020,92739.7189621,74314.8589604
2021,93817.0347741,74817.3699492
2022,94611.1053989,75139.2896363
2023,95147.6046593,75297.1033764
2024,95596.4314095,75402.8661928
2025,96141.4854858,75576.1366773
2026,96812.2206442,75836.3118452
2027,97377.4389635,76031.4773483
2028,97832.3190689,76158.4969383
2029,98511.6972963,76439.8251641
2030,98941.9578961,76561.8155921
2031,99635.5626153,76857.8575049
