year,Base case cost,Modeled biomass for heat (cordwood)
2017,155231.988273,181756.989516
2018,166933.49349,190042.500524
2019,182956.490881,201531.97421
2020,190427.803055,206706.614812
2021,195616.636968,210201.758526
2022,199466.416968,212714.793427
2023,202114.091751,214346.79354
2024,204290.05436,215637.637733
2025,206907.296099,217262.224691
2026,210087.549142,219310.390026
2027,212780.87349,221005.623854
2028,214956.836099,222325.256949
2029,217939.27436,224247.98911
2030,219765.256968,225322.244562
2031,222975.943055,227426.834121
2032,,
2033,,
2034,,
2035,,
2036,,
