year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6994.48499657,4546.41524777
2018,6996.31705201,4547.6060838
2019,6997.98657241,4548.69127206
2020,6999.93645907,4549.9586984
2021,7001.48000815,4550.9620053
2022,7002.34419279,4551.52372532
2023,7002.44574383,4551.58973349
2024,7002.92787773,4551.90312052
2025,7003.76550698,4552.44757954
2026,7005.19669603,4553.37785242
2027,7006.25784432,4554.06759881
2028,7007.02141204,4554.56391783
2029,7010.82657343,4557.03727273
2030,7013.84668259,4559.00034369
2031,7016.02702739,4560.41756781
