year,Base case diesel consumed,Modeled residential ashp
2017,52173.5067084,3821.26476667
2018,53514.261375,5162.01943334
2019,54855.0160417,6502.7741
2020,56195.7707084,7843.52876667
2021,57536.525375,9184.28343333
2022,58877.2800417,10525.0381
2023,60218.0347084,11865.7927667
2024,61558.789375,13206.5474333
2025,62899.5440417,14547.3021
2026,64240.2987083,15888.0567667
2027,65581.053375,17228.8114333
2028,66921.8080417,18569.5661
2029,68262.5627083,19910.3207666
2030,69603.317375,21251.0754333
2031,72284.8267083,23932.5847666
