year,Base case cost,Modeled non-residential energy efficiency
2017,617588.178634,637658.949346
2018,645088.022397,661263.725465
2019,682487.809914,694127.059105
2020,700087.709922,708611.705711
2021,712187.641178,718022.897495
2022,722087.584933,725430.278798
2023,727587.553685,728785.711941
2024,733087.522438,732182.450709
2025,739687.484941,736643.088278
2026,747387.441195,742166.67923
2027,752887.409947,745681.616492
2028,758387.3787,749234.121002
2029,766087.334953,754870.434825
2030,769387.316205,756448.330455
2031,778187.266209,763179.019699
