year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.38
2001,,,2.38
2004,,1.52,2.97
2005,,1.73,3.25
2006,,1.85,4.11
2008,,3.06,4.11
2009,,3.95,4.11
2010,,3.0,4.11
2013,,3.98,6.08
2014,,3.92,5.82
2016,start of forecast,1.76,4.22
2017,,2.09,4.55
2018,,2.34,4.8
2019,,2.68,5.14
2020,,2.84,5.3
2021,,2.95,5.41
2022,,3.04,5.5
2023,,3.09,5.55
2024,,3.14,5.6
2025,,3.2,5.66
2026,,3.27,5.73
2027,,3.32,5.78
2028,,3.37,5.83
2029,,3.44,5.9
2030,,3.47,5.93
2031,,3.55,6.01
2032,,3.62,6.08
2033,,3.69,6.15
2034,,3.76,6.22
2035,,3.81,6.27
2036,,3.89,6.35
2037,,3.93,6.39
2038,,4.01,6.47
2039,,4.06,6.52
2040,,4.15,6.61
