year,annotation,diesel generation efficiency
2002,,13.43
2003,,13.86
2004,,13.88
2005,,13.61
2006,,13.65
2007,,13.8
2008,,13.74
2009,,13.81
2010,,13.54
2011,,13.22
2012,,13.66
2013,,13.04
2014,,13.13
2015,,13.35
2016,start of forecast,13.17
2017,,13.17
2018,,13.17
2019,,13.17
2020,,13.17
2021,,13.17
2022,,13.17
2023,,13.17
2024,,13.17
2025,,13.17
2026,,13.17
2027,,13.17
2028,,13.17
2029,,13.17
2030,,13.17
2031,,13.17
2032,,13.17
2033,,13.17
2034,,13.17
2035,,13.17
2036,,13.17
2037,,13.17
2038,,13.17
2039,,13.17
2040,,13.17
