year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,64477.61,0.0,1222.94,86366.87
2018,66553.77,0.0,1222.94,86366.87
2019,66985.83,0.0,1222.94,86366.87
2020,64708.48,0.0,1222.94,85455.56
2021,64336.38,0.0,1222.94,85455.56
2022,63272.94,0.0,1222.94,84544.24
2023,61661.1,0.0,1222.94,84544.24
2024,60320.99,0.0,1222.94,83632.93
2025,58658.21,0.0,1222.94,83632.93
2026,56820.6,0.0,1222.94,82721.62
2027,54832.89,0.0,1222.94,81810.31
2028,52729.11,0.0,1222.94,80899.0
2029,51002.21,0.0,1222.94,80899.0
2030,49137.59,0.0,1222.94,79987.68
2031,47114.42,0.0,1222.94,79076.37
2032,44793.81,0.0,1222.94,78165.06
2033,42400.02,0.0,1222.94,77253.75
2034,40079.33,0.0,1222.94,76342.44
2035,37908.92,0.0,1222.94,75431.12
2036,35888.38,0.0,1222.94,75431.12
2037,34017.21,0.0,1222.94,74519.81
2038,32221.03,0.0,1222.94,73608.5
2039,30424.85,0.0,1222.94,72697.19
2040,28703.46,0.0,1222.94,72697.19
