year,Base case cost,Modeled biomass for heat (cordwood)
2017,232229.400665,232222.804548
2018,259382.300665,259276.913628
2019,297046.000665,296803.58106
2020,312159.095213,311849.752727
2021,324294.155213,323940.197472
2022,330316.438438,329927.425855
2023,337177.798438,336763.291423
2024,338687.722987,338254.095149
2025,345476.202987,345017.080717
2026,349322.277535,348834.474031
2027,352169.79076,351656.492825
2028,353233.265309,352700.84655
2029,360624.245309,360063.145315
2030,360684.299857,360107.265844
2031,364663.713082,364054.81103
2032,367671.487631,367033.904343
2033,371300.052179,370630.600853
2034,374741.585404,374040.266039
2035,375706.029953,374982.40296
2036,383371.429953,382615.934921
