year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,87590.0,87271.3196105
2018,87590.0,87271.3196105
2019,87590.0,87271.3196105
2020,86679.0,86360.3196105
2021,86679.0,86360.3196105
2022,85767.0,85448.3196105
2023,85767.0,85448.3196105
2024,84856.0,84537.3196105
2025,84856.0,84537.3196105
2026,83945.0,83626.3196105
2027,83033.0,82714.3196105
2028,82122.0,81803.3196105
2029,82122.0,81803.3196105
2030,81211.0,80892.3196105
2031,80299.0,79980.3196105
2032,79388.0,79069.3196105
2033,78477.0,78158.3196105
2034,77565.0,77246.3196105
2035,76654.0,76335.3196105
2036,76654.0,76335.3196105
