year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,87590.0,87239.4515716
2018,87590.0,87239.4515716
2019,87590.0,87239.4515716
2020,86679.0,86328.4515716
2021,86679.0,86328.4515716
2022,85767.0,85416.4515716
2023,85767.0,85416.4515716
2024,84856.0,84505.4515716
2025,84856.0,84505.4515716
2026,83945.0,83594.4515716
2027,83033.0,82682.4515716
2028,82122.0,81771.4515716
2029,82122.0,81771.4515716
2030,81211.0,80860.4515716
2031,80299.0,79948.4515716
2032,79388.0,79037.4515716
2033,78477.0,78126.4515716
2034,77565.0,77214.4515716
2035,76654.0,76303.4515716
2036,76654.0,76303.4515716
