year,Base case cost,Modeled biomass for heat (pellet)
2017,232229.400665,232831.358711
2018,259382.300665,259866.635371
2019,297046.000665,297370.856063
2020,312159.095213,312401.796883
2021,324294.155213,324479.441668
2022,330316.438438,330455.021562
2023,337177.798438,337280.385536
2024,338687.722987,338761.511405
2025,345476.202987,345514.363768
2026,349322.277535,349321.482939
2027,352169.79076,352133.719849
2028,353233.265309,353169.098562
2029,360624.245309,360521.631811
2030,360684.299857,360557.423204
2031,364663.713082,364495.20372
2032,367671.487631,367465.005213
2033,371300.052179,371052.241776
2034,374741.585404,374452.594044
2035,375706.029953,375386.517668
2036,383371.429953,383011.020506
