year,Base case cost,Modeled non-residential energy efficiency
2017,416109.999652,379675.326698
2018,437749.689296,399048.163944
2019,467404.078808,425596.126096
2020,482632.008557,439228.863417
2021,492249.648399,447839.013304
2022,500264.348267,455014.138209
2023,505073.168188,459319.213153
2024,509881.988109,463624.288096
2025,514690.80803,467929.36304
2026,521102.567924,473669.462965
2027,526712.857832,478692.050399
2028,531521.677752,482997.125342
2029,537131.96766,488019.712776
2030,541139.317594,491607.275229
2031,547551.077489,497347.375154
