year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,47855.6539789,35413.1839444
2018,47855.6539789,35413.1839444
2019,47855.6539789,35413.1839444
2020,47855.6539789,35413.1839444
2021,47855.6539789,35413.1839444
2022,47855.6539789,35413.1839444
2023,47855.6539789,35413.1839444
2024,47855.6539789,35413.1839444
2025,47855.6539789,35413.1839444
2026,47855.6539789,35413.1839444
2027,47855.6539789,35413.1839444
2028,47855.6539789,35413.1839444
2029,47855.6539789,35413.1839444
2030,47855.6539789,35413.1839444
2031,47855.6539789,35413.1839444
