year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,6686006.75,8626.09,47855.65,36821.79
2018,6685644.49,8626.37,47855.65,36821.79
2019,6685934.3,8626.14,47855.65,36821.79
2020,6685716.94,8626.32,47855.65,36821.79
2021,6685644.49,8626.38,47855.65,36821.79
2022,6685354.68,8626.54,47855.65,36821.79
2023,6685499.58,8626.47,47855.65,36821.79
2024,6685427.13,8626.49,47855.65,36821.79
2025,6685427.13,8626.49,47855.65,36821.79
2026,6685282.23,8626.6,47855.65,36821.79
2027,6684919.96,8626.82,47855.65,36821.79
2028,6684702.6,8627.0,47855.65,36821.79
2029,6685572.04,8626.43,47855.65,36821.79
2030,6686441.47,8625.79,47855.65,36821.79
2031,6686876.18,8625.52,47855.65,36821.79
2032,6686586.37,,,36821.79
2033,6686224.11,,,36821.79
2034,6686151.66,,,36821.79
2035,6685861.85,,,36821.79
2036,6686006.75,,,36821.79
