year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,226145.0,167215.003148
2018,226145.0,167215.003148
2019,226145.0,167215.003148
2020,226145.0,167215.003148
2021,226145.0,167215.003148
2022,226145.0,167215.003148
2023,226145.0,167215.003148
2024,226145.0,167215.003148
2025,226145.0,167215.003148
2026,226145.0,167215.003148
2027,226145.0,167215.003148
2028,226145.0,167215.003148
2029,226145.0,167215.003148
2030,226145.0,167215.003148
2031,226145.0,167215.003148
2032,,
2033,,
2034,,
2035,,
2036,,
