year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,6706.82,321409.69,139144.02,-2738.99,-142338.63,-72090.64
2018,7266.74,347008.62,151440.13,-2511.29,-132005.5,-67408.06
2019,8072.32,383700.43,163193.11,-2181.97,-117079.85,-58347.96
2020,8483.34,401619.68,168932.94,-2023.9,-110191.09,-53923.25
2021,8766.69,413565.85,172759.5,-1919.55,-105215.88,-50973.45
2022,8999.95,422952.13,175766.07,-1838.98,-101388.79,-48655.75
2023,9159.89,428925.21,177679.35,-1789.47,-98709.83,-47180.85
2024,9326.25,434898.3,184728.57,-1740.6,-96796.29,-46721.63
2025,9496.01,440871.38,186696.57,-1691.69,-94117.32,-45213.96
2026,9707.91,448551.06,189226.84,-1626.76,-91055.65,-43275.51
2027,9901.18,455377.45,191475.98,-1569.04,-88376.69,-41552.46
2028,10058.67,460497.23,193162.83,-1527.14,-86463.15,-40260.16
2029,10317.12,468176.91,201133.89,-1466.34,-83401.48,-39154.8
2030,10502.17,472443.4,202578.68,-1437.51,-81487.93,-38054.48
2031,10746.07,480123.08,205179.31,-1371.89,-78426.26,-36073.9
2032,,,213697.28,,,-34593.96
2033,,,216368.25,,,-32571.24
2034,,,219336.0,,,-30323.77
2035,,,221413.42,,,-28750.54
2036,,,224381.17,,,-26503.07
