year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,85913.0,61453.7440781
2018,85913.0,61453.7440781
2019,85913.0,61453.7440781
2020,85913.0,61453.7440781
2021,85913.0,61453.7440781
2022,85913.0,61453.7440781
2023,85913.0,61453.7440781
2024,85913.0,61453.7440781
2025,85913.0,61453.7440781
2026,85913.0,61453.7440781
2027,85913.0,61453.7440781
2028,85913.0,61453.7440781
2029,85913.0,61453.7440781
2030,85913.0,61453.7440781
2031,85913.0,61453.7440781
2032,,
2033,,
2034,,
2035,,
2036,,
