year,Base case cost,Modeled residential energy efficiency
2017,67053.3723455,68452.9651804
2018,84032.0650663,83460.3354762
2019,104845.157207,101447.865475
2020,115009.690578,110232.473148
2021,121786.046159,116088.878264
2022,127110.325544,120690.339426
2023,130498.503334,123618.541984
2024,138006.941213,130667.004631
2025,141482.610021,133682.698206
2026,145951.327059,137560.018517
2027,149923.519982,141006.52546
2028,152902.664674,143591.405667
2029,161979.091754,152076.436019
2030,164524.205915,154292.996443
2031,169105.411404,158282.805204
2032,179103.318969,167623.605294
2033,183797.012908,171725.902506
2034,189012.228397,176284.010519
2035,192662.879239,179474.686129
2036,197878.094727,184032.794142
