year,Base case cost,Modeled biomass for heat (pellet)
2017,320523.549789,340644.108847
2018,346297.449789,359080.232071
2019,383240.039789,385505.342024
2020,401281.769789,398410.628281
2021,413309.589789,407014.152451
2022,422760.019789,413774.0643
2023,428773.929789,418075.826386
2024,434787.839789,422377.588471
2025,440801.749789,426679.350556
2026,448533.919789,432210.187524
2027,455406.959789,437126.48705
2028,460561.739789,440813.711694
2029,468293.909789,446344.548662
2030,472589.559789,449417.235865
2031,480321.729789,454948.072832
2032,,
2033,,
2034,,
2035,,
2036,,
