year,Base case cost,Modeled water and wastewater efficiency
2017,3967.82568152,9435.28736189
2018,4755.44245585,9970.00820787
2019,5890.35105767,10740.6311908
2020,6459.43634362,11126.3437123
2021,6847.13538344,11388.782939
2022,7160.97818744,11600.8381962
2023,7370.4247919,11741.9296325
2024,7585.65325028,11886.7150568
2025,7804.3166384,12033.736969
2026,8081.15425786,12220.1744284
2027,8332.14184415,12389.088072
2028,8531.53025472,12522.8808261
2029,8850.77730466,12736.4710884
2030,9064.65692669,12878.3760432
2031,9374.17132619,13086.1219834
