year,Base case cost,Modeled biomass for heat (cordwood)
2017,320523.549789,368080.020291
2018,346297.449789,387183.21413
2019,383240.039789,414564.458634
2020,401281.769789,427936.694321
2021,413309.589789,436851.518113
2022,422760.019789,443856.022521
2023,428773.929789,448313.434417
2024,434787.839789,452770.846313
2025,440801.749789,457228.258208
2026,448533.919789,462959.21636
2027,455406.959789,468053.401384
2028,460561.739789,471874.040152
2029,468293.909789,477604.998304
2030,472589.559789,480788.863944
2031,480321.729789,486519.822096
2032,,
2033,,
2034,,
2035,,
2036,,
