year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,75102.0,66490.7989573
2018,76013.0,67401.7989573
2019,76923.0,68311.7989573
2020,76929.0,68317.7989573
2021,77840.0,69228.7989573
2022,78749.0,70137.7989573
2023,78753.0,70141.7989573
2024,79661.0,71049.7989573
2025,79666.0,71054.7989573
2026,80575.0,71963.7989573
2027,81485.0,72873.7989573
2028,81490.0,72878.7989573
2029,82402.0,73790.7989573
2030,84218.0,75606.7989573
2031,84226.0,75614.7989573
2032,85135.0,76523.7989573
2033,86046.0,77434.7989573
2034,86956.0,78344.7989573
2035,87872.0,79260.7989573
2036,88782.0,80170.7989573
