year,Base case diesel consumed,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,58688.4766053,31061.584763,45159.5314244
2022,58987.5261676,31360.6343254,45458.5809868
2023,59286.5757299,31659.6838877,45757.6305491
2024,59510.8629016,31883.9710594,45981.9177208
2025,59809.912464,32183.0206217,46280.9672831
2026,60183.7244169,32556.8325746,46654.779236
2027,60482.7739792,32855.882137,46953.8287984
2028,60856.5859321,33229.6940899,47327.6407513
2029,61379.9226661,33753.0308239,47850.9774853
2030,61903.2594002,34276.367558,48374.3142194
2031,62351.8337437,34724.9419015,48822.8885629
2032,62725.6456966,35098.7538544,49196.7005158
2033,63174.2200401,35547.3281978,49645.2748592
2034,63473.2696024,35846.3777602,49944.3244216
2035,64295.6558988,36668.7640565,50766.7107179
2036,64594.7054611,36967.8136189,51065.7602803
2037,64968.517414,37341.6255718,51439.5722332
2038,65491.854148,37864.9623058,51962.9089672
2039,65716.1413198,38089.2494776,52187.196139
2040,66314.2404444,38687.3486022,52785.2952636
2041,66688.0523973,39061.1605551,53159.1072165
2042,67136.6267408,39509.7348986,53607.68156
2043,67510.4386937,39883.5468515,53981.4935129
2044,67884.2506466,40257.3588044,54355.3054658
2045,68332.8249901,40705.9331479,54803.8798093
2046,69229.973677,41603.0818348,55701.0284962
2047,69678.5480205,42051.6561783,56149.6028397
2048,70201.8847546,42574.9929124,56672.9395738
2049,70650.4590981,43023.5672558,57121.5139172
2050,71173.7958321,43546.9039899,57644.8506513
2051,71173.7958321,43546.9039899,57644.8506513
2052,71173.7958321,43546.9039899,57644.8506513
2053,71173.7958321,43546.9039899,57644.8506513
2054,71173.7958321,43546.9039899,57644.8506513
2055,71173.7958321,43546.9039899,57644.8506513
2056,71173.7958321,43546.9039899,57644.8506513
2057,71173.7958321,43546.9039899,57644.8506513
2058,71173.7958321,43546.9039899,57644.8506513
2059,71173.7958321,43546.9039899,57644.8506513
2060,71173.7958321,43546.9039899,57644.8506513
2061,71173.7958321,43546.9039899,57644.8506513
2062,71173.7958321,43546.9039899,57644.8506513
2063,71173.7958321,43546.9039899,57644.8506513
2064,71173.7958321,43546.9039899,57644.8506513
2065,71173.7958321,43546.9039899,57644.8506513
2066,71173.7958321,43546.9039899,57644.8506513
2067,71173.7958321,43546.9039899,57644.8506513
2068,71173.7958321,43546.9039899,57644.8506513
2069,71173.7958321,43546.9039899,57644.8506513
2070,71173.7958321,43546.9039899,57644.8506513
