year,Base case cost,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,178999.853646,584512.13764,1005481.57093
2022,185220.832166,579146.953291,993871.220724
2023,189717.042336,573022.467972,981293.836326
2024,193410.30443,566557.768955,968418.370256
2025,197970.810256,560920.435505,956662.362239
2026,203420.988529,556127.999717,946039.47409
2027,208060.742488,550973.181457,935084.722551
2028,212389.484903,545950.723868,924289.159907
2029,217898.725465,542049.977686,914892.455861
2030,222232.701247,537657.124489,904896.386843
2031,228831.229839,534714.837118,897001.95869
2032,234593.914905,531362.468489,888710.358643
2033,240693.778353,528520.093712,881065.34537
2034,246911.018753,525715.061712,873718.028144
2035,253324.884241,524017.862209,867227.92325
2036,259670.715954,521667.178048,860592.431023
2037,264421.865875,518625.384651,853009.174823
2038,271136.276173,517202.744019,847420.313753
2039,276007.793543,514335.903251,840378.766261
2040,284488.091507,514477.825641,836842.565886
2041,286091.744785,510125.24634,827782.194997
2042,288016.128718,506232.996896,819292.49283
2043,289619.781996,502156.344087,810726.140054
2044,291223.435274,498212.82349,802398.146864
2045,293147.819207,494720.045445,794623.657308
2046,296996.587075,493278.616063,789000.869027
2047,298920.971008,490036.791765,781675.686444
2048,301166.085597,487236.781086,774888.021154
2049,303090.469531,484234.28489,767991.331017
2050,305335.58412,481667.993108,761622.115467
2051,305335.58412,476969.35408,753209.683702
2052,305335.58412,472380.839385,744994.418272
2053,305335.58412,467899.868039,736971.698192
2054,305335.58412,463523.919431,729137.01056
2055,305335.58412,459250.53212,721485.948425
2056,305335.58412,455077.302326,714014.208062
2057,305335.58412,451001.882594,706717.586591
2058,305335.58412,447021.980548,699591.979753
2059,305335.58412,443135.357427,692633.379272
2060,305335.58412,439339.827022,685837.870966
2061,305335.58412,435633.254393,679201.632442
2062,305335.58412,432013.554529,672720.930705
2063,305335.58412,428478.691391,666392.120432
2064,305335.58412,425026.676617,660211.641667
2065,305335.58412,421655.568469,654176.017928
2066,305335.58412,418363.470591,648281.853981
2067,305335.58412,415148.531318,642525.834609
2068,305335.58412,412008.942158,636904.721895
2069,305335.58412,408942.937151,631415.354068
2070,305335.58412,405948.791625,626054.643279
