year,Base case cost,Modeled solar power
2020,171225.31265,176424.531743
2021,178999.853646,183939.057192
2022,185220.832166,189925.487466
2023,189717.042336,194221.82578
2024,193410.30443,197729.631756
2025,197970.810256,202099.472461
2026,203420.988529,207353.909415
2027,208060.742488,211811.958389
2028,212389.484903,215972.706446
2029,217898.725465,221308.664645
2030,222232.701247,225491.998099
2031,228831.229839,231906.846689
2032,234593.914905,237499.197136
2033,240693.778353,243432.71906
2034,246911.018753,249478.553603
2035,253324.884241,255751.680162
2036,259670.715954,261933.742901
2037,264421.865875,266551.201391
2038,271136.276173,273117.846834
2039,276007.793543,277853.725235
