year,Base case diesel consumed,Modeled solar power
2020,58239.9022618,57235.9520562
2021,58688.4766053,57692.5580013
2022,58987.5261676,57999.5749125
2023,59286.5757299,58306.5280848
2024,59510.8629016,58538.6556377
2025,59809.912464,58845.4828582
2026,60183.7244169,59227.0102479
2027,60482.7739792,59533.7135236
2028,60856.5859321,59915.1179601
2029,61379.9226661,60445.986438
2030,61903.2594002,60976.7946619
2031,62351.8337437,61432.7807232
2032,62725.6456966,61813.9451003
2033,63174.2200401,62269.8130486
2034,63473.2696024,62576.0978668
2035,64295.6558988,63405.6615371
2036,64594.7054611,63711.8310543
2037,64968.517414,64092.7060024
2038,65491.854148,64623.0492278
2039,65716.1413198,64854.2868389
