year,Base case cost,Modeled residential energy efficiency
2017,1538665.87902,1510052.00672
2018,1642327.34261,1596362.8404
2019,1784625.0178,1715526.34239
2020,1864584.90852,1784561.76242
2021,1931041.61668,1843307.07952
2022,1996697.63198,1903822.16743
2023,2049764.55732,1952390.78131
2024,2097125.65035,1996538.79473
2025,2148214.45748,2043771.90633
2026,2203176.77837,2094235.91577
2027,2255480.58265,2142684.02451
2028,2304980.07067,2188970.43291
2029,2361837.78711,2241329.8379
2030,2408921.75794,2285843.34504
2031,2466994.47153,2339417.74717
2032,2529329.49796,2396611.84622
2033,2580956.35288,2443097.77376
2034,2644716.97596,2501717.46947
2035,2698120.65481,2551908.0687
2036,2763290.67459,2611937.1611
