year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,171332.249548,126649.864666
2018,171332.249548,126649.864666
2019,171332.249548,126649.864666
2020,171332.249548,126649.864666
2021,171332.249548,126649.864666
2022,171332.249548,126649.864666
2023,171332.249548,126649.864666
2024,171332.249548,126649.864666
2025,171332.249548,126649.864666
2026,171332.249548,126649.864666
2027,171332.249548,126649.864666
2028,171332.249548,126649.864666
2029,171332.249548,126649.864666
2030,171332.249548,126649.864666
2031,171332.249548,126649.864666
