year,population
2003,681.0
2004,684.0
2005,662.0
2006,670.0
2007,662.0
2008,663.0
2009,660.0
2010,671.0
2011,691.0
2012,708.0
2013,725.0
2014,741.0
2015,756.0
2016,771.0
2017,786.0
2018,801.0
2019,815.0
2020,829.0
2021,842.0
2022,855.0
2023,868.0
2024,880.0
2025,892.0
2026,904.0
2027,916.0
2028,928.0
2029,941.0
2030,954.0
2031,966.0
2032,977.0
2033,988.0
2034,998.0
2035,1009.0
2036,1021.0
2037,1033.0
2038,1045.0
2039,1056.0
2040,1066.0
