year,Base case cost,Modeled non-residential energy efficiency
2017,344493.293697,354604.590917
2018,358740.09524,368819.786941
2019,377612.949609,387649.363532
2020,386471.12019,396487.354256
2021,392633.236465,402635.4556
2022,397254.388965,407246.209925
2023,400336.000365,410320.670011
2024,402649.184853,412627.97727
2025,405730.480103,415702.203405
2026,409581.150715,419544.284221
2027,412663.23634,422619.095234
2028,415358.184121,425308.165786
2029,418825.036465,428766.962626
2030,420752.821934,430689.816155
2031,424603.808696,434532.130922
