year,Base case cost,Modeled water and wastewater efficiency
2017,77477.2853802,62814.258793
2018,80071.7807482,64503.9122795
2019,83508.8836224,66742.4130636
2020,85124.337467,67794.6409614
2021,86241.6839917,68522.1024693
2022,87066.0951731,69058.1666432
2023,87595.8383448,69401.6256909
2024,87993.2767396,69659.3251666
2025,88539.6251973,70014.45285
2026,89238.8918892,70469.8109898
2027,89790.9838949,70828.9750264
2028,90267.2174447,71138.4579358
2029,90943.907496,71581.4049014
2030,91324.2522209,71830.5542641
2031,92039.8137739,72297.2875334
