year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,5643.7,6934.86,38176.33,23018.77
2018,5643.7,6934.15,38176.33,23018.77
2019,5643.7,6933.37,38176.33,23018.77
2020,5643.7,6933.19,38176.33,23018.77
2021,5643.7,6932.56,38176.33,23018.77
2022,5643.7,6931.04,38176.33,23018.77
2023,5643.7,6928.51,38176.33,23018.77
2024,5643.7,6926.63,38176.33,22062.74
2025,5643.7,6925.42,38176.33,22062.74
2026,5643.7,6925.18,38176.33,22062.74
2027,5643.7,6924.43,38176.33,22062.74
2028,5643.7,6923.26,38176.33,22062.74
2029,5643.7,6926.6,38176.33,22062.74
2030,5643.7,6928.76,38176.33,23018.77
2031,5643.7,6929.69,38176.33,23018.77
2032,5643.7,,,22062.74
2033,5643.7,,,22062.74
2034,5643.7,,,22062.74
2035,5643.7,,,21106.71
2036,5643.7,,,21106.71
