year,Base case cost,Modeled wind power
2019,1219593.11529,1672113.83866
2020,1303031.41431,1742964.24896
2021,1359624.37091,1790745.68344
2022,1405109.62744,1829307.60117
2023,1433201.38953,1852993.60221
2024,1458105.61958,1874121.46565
2025,1485138.8982,1896748.98321
2026,1519592.97154,1925538.50663
2027,1549128.4863,1950038.86589
2028,1570778.73545,1967912.74843
2029,1600733.07943,1992831.93692
2030,1618435.99739,2007387.88269
2031,1656496.43199,2039154.37293
2032,1688544.92209,2065538.3131
2033,1719230.87481,2090559.7159
2034,1754612.5475,2119647.44422
2035,1773453.8218,2134712.35191
2036,1810078.55815,2165043.14389
2037,1830337.40829,2181525.62742
2038,1870990.69112,2215255.57145
