year,annotation,Average Load
2003,,704.0
2004,,697.0
2005,,676.0
2006,,705.0
2007,,722.0
2008,,698.0
2009,,666.0
2010,,682.0
2011,,681.0
2012,,645.0
2013,,634.0
2014,start of forecast,660.0
2015,,658.0
2016,,656.0
2017,,654.0
2018,,652.0
2019,,651.0
2020,,650.0
2021,,648.0
2022,,647.0
2023,,647.0
2024,,646.0
2025,,645.0
2026,,643.0
2027,,642.0
2028,,640.0
2029,,639.0
2030,,637.0
2031,,636.0
2032,,634.0
2033,,631.0
2034,,629.0
2035,,627.0
2036,,625.0
2037,,624.0
2038,,622.0
2039,,620.0
2040,,619.0
