year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,17754.69,805464.95,694272.59,25808.64,1466068.99,481117.78
2018,19721.02,899439.71,746236.21,27149.66,1550744.09,497842.33
2019,22429.36,1027871.88,819451.18,29031.64,1666466.73,523104.55
2020,23679.54,1090521.72,841120.86,29862.61,1722916.8,528532.79
2021,24473.18,1134376.61,837536.66,30344.11,1762431.85,523051.96
2022,25152.31,1168834.02,850747.75,30797.29,1793479.39,527148.26
2023,25536.15,1190761.46,844801.26,31025.95,1813236.91,522606.84
2024,25904.28,1209556.42,851855.59,31272.09,1830171.93,524876.48
2025,26245.5,1231483.86,839500.83,31450.51,1849929.45,517345.18
2026,26674.17,1259676.29,819225.5,31670.84,1875331.98,505718.84
2027,27000.98,1284736.22,795576.94,31803.65,1897912.01,492852.12
2028,27227.93,1303531.18,772715.48,31883.68,1914847.03,480856.98
2029,27585.42,1328591.11,752249.32,32059.93,1937427.06,469941.12
2030,27761.41,1344253.57,731635.19,32114.67,1951539.58,459441.77
2031,28226.85,1375578.49,706218.31,32363.58,1979764.61,446313.28
2032,,,671632.6,,,429151.87
2033,,,616884.31,,,402718.76
2034,,,573274.46,,,381878.81
2035,,,529594.31,,,361326.49
2036,,,494949.96,,,345225.93
