year,Base case cost,Modeled solar power (pv)
2016,748378.690992,816536.912623
2017,918411.945836,984106.240475
2018,1045482.31631,1109386.74311
2019,1219593.11529,1281045.49578
2020,1303031.41431,1363381.96529
2021,1359624.37091,1419263.17207
2022,1405109.62744,1464233.46044
2023,1433201.38953,1492063.35439
2024,1458105.61958,1516771.62878
2025,1485138.8982,1543553.49477
2026,1519592.97154,1577642.63298
2027,1549128.4863,1606879.38133
2028,1570778.73545,1628354.02317
2029,1600733.07943,1658020.9136
2030,1618435.99739,1675615.08726
2031,1656496.43199,1713284.4265
2032,1688544.92209,1745006.16628
2033,1719230.87481,1775372.06132
2034,1754612.5475,1810384.53766
2035,1773453.8218,1829085.22556
