year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,696800
2004,,0,0,0,0,0,242892
2005,,0,0,0,0,0,763151
2006,,0,0,0,0,0,706989
2007,,0,0,0,0,0,749000
2008,,0,0,0,0,0,721000
2009,,0,0,0,0,0,684000
2010,,0,0,0,0,0,763000
2011,,0,0,0,0,0,583250
2012,,0,0,0,0,0,611300
2013,,0,0,0,0,0,610519
2014,start of forecast,0,0,0,0,0,598000
2015,,0,0,0,0,0,597000
2016,,0,0,0,0,0,596000
2017,,0,0,0,0,0,595000
2018,,0,0,0,0,0,594000
2019,,0,0,0,0,0,593000
2020,,0,0,0,0,0,592000
2021,,0,0,0,0,0,591000
2022,,0,0,0,0,0,590000
2023,,0,0,0,0,0,589000
2024,,0,0,0,0,0,587000
2025,,0,0,0,0,0,586000
2026,,0,0,0,0,0,585000
2027,,0,0,0,0,0,584000
2028,,0,0,0,0,0,583000
2029,,0,0,0,0,0,583000
2030,,0,0,0,0,0,582000
2031,,0,0,0,0,0,581000
2032,,0,0,0,0,0,580000
2033,,0,0,0,0,0,579000
2034,,0,0,0,0,0,578000
2035,,0,0,0,0,0,577000
2036,,0,0,0,0,0,576000
2037,,0,0,0,0,0,576000
2038,,0,0,0,0,0,575000
2039,,0,0,0,0,0,574000
2040,,0,0,0,0,0,574000
