year,Base case diesel consumed,Modeled solar power
2020,52260.6326008,51466.8794995
2021,52172.3545052,51384.9514287
2022,52084.0764096,51302.9725577
2023,51995.798314,51220.9432929
2024,51819.2421228,51050.5859419
2025,51730.9640272,50968.4570957
2026,51642.6859316,50886.2790555
2027,51554.4078359,50804.0522149
2028,51466.1297403,50721.7769643
2029,51466.1297403,50727.7317865
2030,51377.8516447,50645.3608745
2031,51289.5735491,50562.9427051
2032,51201.2954535,50480.4776562
2033,51113.0173579,50397.966103
2034,51024.7392623,50315.4084174
2035,50936.4611667,50232.8049686
2036,50848.1830711,50150.1561226
2037,50848.1830711,50155.7403381
2038,50759.9049755,50073.0017844
2039,50671.6268799,49990.2189143
