year,Base case cost,Modeled water and wastewater efficiency
2017,73902.3444882,58047.5886829
2018,77778.3473768,60626.7643444
2019,82879.6318155,64064.7374022
2020,85273.5273936,65614.6649281
2021,86801.1823,66562.3623182
2022,88073.5130395,67334.4086277
2023,88845.9871139,67759.9492456
2024,89378.8722837,68020.8787266
2025,90161.439346,68458.8550377
2026,91195.3824498,69075.0254755
2027,91980.7584791,69520.0175781
2028,92519.2911234,69794.9927912
2029,93458.9951949,70352.9345301
2030,94023.684698,70651.1485565
2031,94943.8362025,71199.7626775
