year,Base case cost,Modeled solar power
2020,213745.987337,216910.348481
2021,220167.336012,223121.283689
2022,225524.050854,228287.800531
2023,228781.512582,231390.309587
2024,230595.627446,233068.512753
2025,233823.957403,236149.023194
2026,238072.782144,240238.411765
2027,241274.628672,243299.50668
2028,243434.793672,245337.167148
2029,247552.084051,249312.850135
2030,249696.358993,251340.82763
2031,253370.493333,254879.778217
2032,257542.516131,258912.605253
2033,261187.518699,262428.806114
2034,265328.644164,266437.097844
2035,267925.785737,268925.625114
2036,272037.77943,272910.770716
2037,274580.188584,275357.012039
2038,278671.878315,279327.534977
2039,281734.245452,282285.224696
