year,population
2003,82.0
2004,77.0
2005,81.0
2006,76.0
2007,63.0
2008,63.0
2009,73.0
2010,109.0
2011,108.0
2012,107.0
2013,105.0
2014,103.0
2015,101.0
2016,99.0
2017,98.0
2018,96.0
2019,94.0
2020,93.0
2021,91.0
2022,89.0
2023,87.0
2024,85.0
2025,83.0
2026,81.0
2027,80.0
2028,78.0
2029,77.0
2030,76.0
2031,75.0
2032,73.0
2033,71.0
2034,69.0
2035,67.0
2036,66.0
2037,65.0
2038,64.0
2039,63.0
2040,61.0
