year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6337.50786004,4119.38010902
2018,6333.01287129,4116.45836634
2019,6328.80162143,4113.72105393
2020,6324.42088941,4110.87357812
2021,6319.68964052,4107.79826634
2022,6314.39911939,4104.3594276
2023,6308.53874518,4100.55018437
2024,6303.12182096,4097.02918362
2025,6298.15066803,4093.79793422
2026,6293.766643,4090.94831795
2027,6289.17432144,4087.96330894
2028,6284.45756721,4084.89741868
2029,6282.15809992,4083.40276495
2030,6279.27039807,4081.52575875
2031,6275.80069679,4079.27045291
