year,Base case cost,Modeled solar power (pv)
2016,83552.6286526,90258.7394573
2017,102584.060735,108920.931508
2018,116973.680114,123001.006593
2019,136933.474736,142594.903864
2020,146681.281412,152097.627267
2021,153179.819196,158392.109291
2022,158285.81317,163313.760854
2023,161999.263332,166862.122864
2024,164784.350954,169495.918765
2025,168497.801116,173051.684111
2026,172675.432549,177070.323636
2027,176388.882711,180633.288535
2028,179173.970333,183281.050054
2029,183351.601765,187310.158411
2030,185672.508117,189505.016063
2031,190314.32082,194000.127147
2032,194491.952253,198039.073975
2033,199133.764955,202540.720416
2034,203775.577658,207045.548558
2035,207024.84655,210174.696293
