year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,46418.13,6911.6,1112684.18,1278340.92
2018,46418.13,6901.5,1112684.18,1275576.82
2019,46418.13,6892.15,1112684.18,1274194.78
2020,46418.13,6879.86,1112684.18,1271430.68
2021,46418.13,6864.01,1112684.18,1267284.53
2022,46418.13,6847.84,1112684.18,1263138.39
2023,46418.13,6829.67,1112684.18,1258992.24
2024,46418.13,6810.34,1112684.18,1254846.1
2025,46418.13,6788.81,1112684.18,1249317.91
2026,46418.13,6765.87,1112684.18,1243789.71
2027,46418.13,6740.89,1112684.18,1238261.52
2028,46418.13,6715.22,1112684.18,1232733.33
2029,46418.13,6701.17,1112684.18,1228587.18
2030,46418.13,6684.45,1112684.18,1224441.04
2031,46418.13,6666.31,1112684.18,1220294.89
2032,46418.13,,,1214766.7
2033,46418.13,,,1209238.51
2034,46418.13,,,1203710.31
2035,46418.13,,,1199564.17
2036,46418.13,,,1195418.02
