year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25, 135.24) -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2021,153179.819196,4547467.86484,10393277.211,18568300.3929,610125.892165,1391662.63077,87528416.5788,16079373.1995,768806.90899,1736099.34702,34657271.0956,4310379.18307,1711385.94182,1152927.15456,13426872.052,30181377.9192,5030538.84005,22775675.5466,3253407.92656,6295106.18221,4515830.19251,,,6772957.60913
2022,158285.81317,4451333.54373,10176733.9695,18175998.5617,592109.599452,1362131.79976,85644137.8132,15705341.7643,750603.731835,1699917.17819,33939469.6185,4203063.93201,1675789.07827,1128483.56309,13138974.4563,29530359.2918,4923992.81391,22293470.7878,3171491.29687,6165320.58032,4421308.60031,,,6619891.51684
2023,161999.263332,4358310.21758,9966801.20761,17796471.8826,575361.102187,1333546.72187,83826251.2528,15348282.1821,733232.244534,1664810.57043,33243059.0882,4101486.40237,1641239.83635,1104813.52986,12861032.0616,28902431.4279,4820926.53053,21827118.5329,3094054.43006,6039287.89564,4329713.4251,,,6473180.39951
2024,164784.350954,4268034.13548,9762803.49525,17428207.0099,559564.022334,1305799.24443,82065664.3598,15005014.7565,716535.628732,1630677.17158,32565989.6374,4004419.58096,1607641.34023,1081830.89402,12591724.0656,28294397.6698,4720925.31132,21374704.365,3020124.46507,5916679.09512,4240735.00492,,,6331737.04711
2025,168497.801116,4179204.24106,9562388.52447,17065778.2508,543477.136505,1278504.11266,80328988.3439,14663387.2356,699914.144763,1597166.14936,31901223.5102,3907112.17778,1574663.7855,1059230.27198,12326224.0369,27694500.4337,4622500.85023,20929341.1554,2945928.95266,5796388.86055,4153286.93858,,,6191448.39799
2026,172675.432549,4092084.80779,9366005.94244,16710293.351,527401.127858,1251738.87886,78623389.2504,14326213.2335,683506.819256,1564342.00512,31250059.8992,3810689.90924,1542366.76416,1037072.45577,12065557.6177,27105271.4291,4525957.71162,20492445.4148,2872363.86184,5678610.00144,4067580.50948,,,6053249.30713
2027,176388.882711,4007254.08121,9174667.84389,16364170.4379,511945.203814,1225673.93548,76964161.6389,13999302.8719,667600.594149,1532352.65173,30615472.2241,3717454.81568,1510888.08703,1015491.70364,11811923.5531,26532106.2807,4431960.03689,20067098.917,2801259.54564,5563796.19363,3984087.43405,,,5919085.60052
2028,179173.970333,3924978.58473,8988828.98267,16028526.4308,497410.402515,1200387.52694,75358515.1277,13685478.045,652334.898477,1501263.44665,29998776.656,3628534.90461,1480288.18937,994549.381411,11566354.1611,25977551.7378,4340814.88093,19654729.4342,2733513.71218,5452143.32769,3903021.22079,,,5789895.57907
2029,183351.601765,3843648.92884,8805587.40189,15696648.2467,482247.865975,1175403.29289,73765041.616,13369610.7447,636963.085792,1470642.29168,29391303.7643,3538008.30414,1450161.16137,973868.077313,11322866.6384,25427023.994,4250680.60251,19246812.7988,2664423.88687,5342292.94098,3823040.61213,,,5660563.84638
2030,185672.508117,3765410.78029,8628761.89811,15377495.9783,468609.038126,1151355.07621,72239631.0007,13072484.655,622511.238372,1441053.22907,28804379.699,3454056.19063,1421034.99407,953948.758586,11089518.0088,24900221.9469,4164016.52842,18854744.8916,2600490.45751,5235999.70094,3745917.07736,,,5538087.34812
