year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25, 135.24) -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2031,190314.32082,3687405.51354,8453215.82269,15059142.1376,453712.013463,1127397.20228,70708489.9506,12767010.2179,607642.238272,1411733.04582,28222688.3193,3366058.17031,1392193.39542,934121.845097,10855652.7947,24371150.595,4077550.07273,18463373.7887,2533278.55533,5130870.78908,3669274.20563,,,5413316.99195
2032,194491.952253,3611468.00817,8282212.75336,14749249.4213,439400.214144,1104071.65355,69219441.5273,12470986.3305,593234.822083,1383163.58453,27655905.582,3281022.33875,1364087.33126,914815.6501,10628164.3665,23856666.21,3993384.51064,18082446.0489,2468356.64593,5028404.36789,3594626.18295,,,5292243.63034
2033,199133.764955,3536931.46631,8114539.60898,14445038.6464,425050.461548,1081180.79787,67755476.2546,12178276.9934,578986.210103,1355163.23849,27100389.8349,3196556.48369,1336545.80158,895873.332679,10404591.2347,23350781.2464,3910757.67976,17708436.6745,2403825.92885,4928025.49869,3521413.71874,,,5172785.81453
2034,203775.577658,3464068.55492,7950665.08738,14147651.7813,410964.763106,1058804.7695,66323922.7275,11891726.7092,565036.930155,1327799.70278,26557503.6096,3113794.86856,1309631.5442,877357.825396,10185983.9458,22856083.5195,3829983.43543,17342804.1876,2340588.86094,4829938.48497,3449856.3972,,,5055891.2546
2035,207024.84655,3393778.54635,7792179.74291,13860846.1001,398061.963556,1037208.97114,64948340.6433,11620168.0692,551823.101246,1301306.98603,26031947.7894,3036223.04143,1283563.23293,859478.6518,9975735.28025,22380879.7262,3752093.30522,16990330.9355,2281415.6323,4734867.52962,3380693.34457,,,4944527.55233
2036,211666.659253,3324146.13715,7635637.46061,13576630.993,384485.952007,1015826.68107,63579349.4417,11345506.2122,538451.602829,1275172.64465,25513439.5246,2956751.01195,1257859.75928,841786.988905,9766713.24117,21907776.0087,3674894.99059,16640867.8203,2220675.61292,4641204.3384,3312330.83938,,,4832580.68177
2037,214451.746875,3257323.74906,7484872.36876,13303994.0952,372389.238145,995293.820095,62272969.8375,11088549.6808,525949.725321,1249963.29117,25013355.9396,2883566.83504,1233051.64603,824785.526613,9566994.89514,21456516.4179,3600855.29562,16305844.5331,2164874.41194,4550712.82898,3246547.03129,,,4727057.93421
2038,219557.740848,3190459.35332,7334762.79138,13031034.8157,358990.957263,974766.742821,60955536.2539,10822233.1938,512981.530629,1224918.22259,24516430.6742,2806056.83434,1208425.07359,807806.367105,9365944.33772,21001150.0479,3526708.93654,15970142.1681,2105582.25962,4461009.21644,3180972.03338,,,4618820.32063
2039,223271.191011,3126019.93893,7189706.6552,12768053.5984,346752.237218,954974.393275,59691209.4467,10570363.9917,500722.330937,1200687.68941,24035719.5715,2733585.99479,1184589.00668,791425.818272,9172813.50465,20564288.8433,3455282.95331,15646858.6586,2050239.60921,4374119.09986,3117645.01691,,,4515887.01496
2040,228841.366254,3061780.83508,7045705.849,12505768.2263,333509.169356,935258.626057,58422569.5167,10311867.6513,488131.913945,1176677.5886,23559300.3024,2657892.69105,1160985.84376,775122.765223,8979310.95857,20125705.811,3384030.56744,15324202.6911,1992285.00592,4288179.62431,3054716.38129,,,4411140.07257
2041,228841.366254,3002713.34701,6911640.94747,12264931.7821,324189.898627,917088.81148,57278660.8595,10094496.0203,477567.580066,1154202.62399,23113566.2312,2597744.90288,1138847.50447,760059.342945,8804051.32485,19730874.3506,3318647.17739,15028556.9629,1946628.20869,4207293.10348,2996301.38395,,,4320675.00992
2042,228841.366254,2945030.25315,6780718.19199,12029739.9419,315089.0483,899344.851919,56161562.5607,9882219.0367,467250.847755,1132254.41634,22678279.0519,2539006.82845,1117228.03249,745348.969615,8632899.33867,19345296.7523,3254796.21049,14739840.4313,1902041.49261,4128302.36043,2939255.48806,,,4232330.22212
2043,228841.366254,2888699.10703,6652863.93912,11800060.4114,306201.49919,882016.766483,55070646.2579,9674917.29582,457175.9139,1110820.6199,22253193.9176,2481645.42789,1096115.26697,730983.370721,8465758.72788,18968756.1306,3192441.7509,14457890.6945,1858499.77787,4051162.96324,2883546.6056,,,4146056.01564
2044,228841.366254,2833688.22195,6528006.26983,11575763.994,297522.251979,865094.807986,54005298.3018,9472474.18872,447337.11127,1089889.17799,21838071.7147,2425628.43494,1075497.33181,716954.465498,8302535.47452,18601040.6782,3131548.72372,14182549.1537,1815978.5719,3975831.52039,2829143.39986,,,4061803.86056
2045,228841.366254,2779966.65469,6406074.95264,11356724.5248,289046.424658,848569.457954,52964919.4425,9274775.84271,437728.905614,1069448.31683,21432678.9399,2370924.34047,1055362.62959,703254.362794,8143137.76679,18241943.5582,3072082.87709,13913660.9312,1774453.95687,3902265.65852,2776015.26946,,,3979526.36568
2046,228841.366254,2727504.18659,6287001.40054,11142818.7928,280769.249528,832431.420793,51948924.4614,9081711.05143,428345.892265,1049486.53832,21036787.5577,2317502.37315,1035699.83443,689875.356229,7987475.94262,17891262.7765,3014010.76116,13651074.7762,1733902.57494,3830423.99643,2724132.32955,,,3899177.24948
2047,228841.366254,2676271.30772,6170718.6351,10933926.477,272686.070711,816671.618916,50956741.8651,8893171.21666,419182.793315,1029992.61405,20650174.8808,2265332.48331,1016497.88607,676809.920163,7835462.44284,17548801.0764,2957299.7106,13394642.9848,1694301.61613,3760266.12348,2673465.39617,,,3820711.31589
2048,228841.366254,2626239.19945,6057161.24698,10729930.0748,264792.341397,801281.187397,49987813.5484,8709050.28426,410234.454496,1010955.57862,20272623.4385,2214385.32527,997745.983381,664050.705255,7687011.75945,17214365.8225,2901917.82528,13144221.3134,1655628.80478,3691752.57567,2623985.96904,,,3744084.42761
2049,228841.366254,2577379.71825,5946265.35909,10530714.8364,257083.621291,786251.468974,49041594.4802,8529244.68453,401495.842286,992364.723539,19903920.8547,2164632.24078,979433.578238,651590.534329,7542040.38759,16887768.8917,2847833.95239,12899668.8977,1617862.3871,3624844.81351,2575666.21553,,,3669253.48133
2050,228841.366254,2529665.38148,5837968.59433,10336168.7065,249555.574365,771574.009678,48117552.4279,8353653.27976,392962.041359,974209.591749,19543859.7401,2116045.24454,961550.370213,639422.398743,7400466.78324,16568826.5787,2795017.67064,12660848.1809,1580981.12009,3559505.20248,2528478.95656,,,3596176.38585
2051,228841.366254,2483069.34954,5732210.03514,10146182.2518,242203.966049,757240.553355,47215167.6123,8182177.29877,384628.251402,956479.970885,19192237.5584,2068597.00609,944086.299901,627539.453852,7262211.31044,16257359.4766,2743439.27056,12427624.825,1544964.25782,3495696.98867,2482397.64905,,,3524812.0349
2052,228841.366254,2437565.41206,5628930.19212,9960648.60453,235024.661048,743243.037406,46333932.4404,8014720.28599,376489.784643,939165.887999,18848856.5214,2022260.8357,927031.543727,615935.015474,7127196.2002,15953192.3845,2693069.7392,12199867.6414,1509791.54075,3433384.27984,2437396.37215,,,3455120.28588
2053,228841.366254,2393127.9733,5528070.9708,9779463.40277,228013.621035,729573.588288,45473351.221,7851188.04756,368542.063228,922257.603995,18513523.4787,1977010.66948,910376.508462,604602.556164,6995345.50709,15656154.2097,2643880.74392,11977448.5175,1475443.18435,3372532.02534,2393449.81284,,,3387061.93748
2054,228841.366254,2349732.03663,5429575.63663,9602524.72768,221166.902213,716224.51677,44632939.8668,7691488.5946,360780.616468,905745.607755,18186049.8014,1932821.05364,894111.825448,593535.701273,6866585.06351,15366077.8647,2595844.6153,11760242.3401,1441899.86728,3313105.99506,2350533.25065,,,3320598.70606
2055,228841.366254,2307353.19236,5333388.78719,9429733.05336,214480.653387,703188.314159,43812225.6565,7535532.09809,353201.078641,889620.611482,17866251.2895,1889667.13208,878228.345996,582728.225831,6740842.44325,15082800.185,2548934.33361,11548126.9331,1409142.7218,3255072.76255,2308622.54553,,,3255693.20684
2056,228841.366254,2265967.6023,5239456.31711,9260991.18405,207951.113523,690457.647558,43010746.9361,7383230.83211,345799.186239,873873.544823,17553948.0555,1847524.63059,862717.135607,572174.050604,6618046.91576,14806161.8261,2503123.51169,11340982.9811,1377153.32196,3198399.68398,2267694.12259,,,3192308.93032
2057,228841.366254,2225551.98706,5147725.38941,9096204.20253,201574.609758,678025.355972,42228052.8743,7234499.12724,338570.775699,858495.550058,17248964.4289,1806369.84403,847569.469231,561867.238872,6498129.40859,14536007.1792,2458386.38096,11138693.9658,1345913.67371,3143054.88076,2227724.95962,,,3130410.22286
2058,228841.366254,2186083.61264,5058144.40498,8935279.41522,195347.555274,665884.446171,41463703.2015,7089253.32112,331511.781003,843477.976985,16951128.8549,1766179.62261,832776.826225,551801.992999,6381022.46753,14272184.2807,2414697.77655,10941146.0985,1315406.20459,3089007.22115,2188692.57375,,,3069962.2661
2059,228841.366254,2147540.27856,4970662.97557,8778126.30391,189266.44743,654028.08904,40717267.9802,6947411.71473,324618.231551,828812.378401,16660273.8045,1726931.35983,818330.885908,541972.651407,6266660.22133,14014544.7335,2372033.12416,10748228.2609,1285613.75453,3036226.30399,2150575.00974,,,3010931.05882
2060,228841.366254,2109900.30362,4885231.8916,8624656.46761,183327.865511,642449.615201,39988327.3295,6808894.52006,317886.24962,814490.504687,16376235.6674,1688602.97796,804223.522223,532373.684943,6154978.33953,13762943.6114,2330368.42428,10559831.9339,1256519.56482,2984682.43923,2113350.82587,,,2953283.39507
2061,228841.366254,2073142.51561,4801803.09871,8474783.58068,177528.469109,631142.51185,39276471.2258,6673623.82222,311312.048518,800504.299897,16098854.6744,1651172.91755,790446.799882,522999.694262,6045914.0019,13517239.3909,2289680.24083,10375851.1459,1228107.27019,2934346.63382,2076999.08384,,,2896986.84847
2062,228841.366254,2037246.23828,4720329.66819,8328423.33962,171864.996063,620100.418739,38581299.2498,6541523.53143,304891.930258,786845.896788,15827974.7985,1614620.12421,776992.969477,513845.406492,5939405.85973,13277293.8631,2249945.6867,10196182.4077,1200360.88874,2885190.57389,2041499.33579,,,2842009.75221
2063,228841.366254,2002191.27984,4640765.77095,8185493.41627,166334.260649,609317.124652,37902420.3649,6412519.34081,298622.283501,773507.612461,15563443.6689,1578924.03685,763854.463182,504905.672314,5835394.00183,13042972.0579,2211142.41106,10020724.655,1173264.81301,2837186.60896,2006831.61297,,,2788321.18148
2064,228841.366254,1967957.92231,4563066.65328,8045913.41429,160933.151897,598786.564118,37239452.7101,6286538.68708,292499.581646,760481.944294,15305112.49,1544064.57686,751023.890748,496175.463237,5733819.92278,12814142.1721,2173248.58755,9849379.19495,1146803.80181,2790307.73739,1972976.41522,,,2735890.93711
2065,228841.366254,1934526.90884,4487188.6081,7909604.81758,155658.631592,588502.813518,36592023.3547,6163510.70398,286520.380571,747761.565128,15052835.9462,1510022.1352,738494.03476,487649.86837,5634626.48547,12590675.4851,2136242.90024,9682049.64287,1120962.97036,2744527.58903,1939914.69841,,,2684689.52621
2066,228841.366254,1901879.43463,4413088.95435,7776490.95315,150507.732838,578460.08829,35959768.1227,6043366.18883,280681.317001,735339.319807,14806472.1331,1476777.56316,726257.847231,479324.092105,5537757.89401,12372446.2978,2100104.53361,9518641.87662,1095727.78332,2699820.41275,1907627.86549,,,2634688.14821
2067,228841.366254,1869997.13587,4340726.01184,7646496.946,145477.558316,568652.739515,35342331.3779,5926037.56173,274979.106531,723208.220961,14565882.4738,1444312.16105,714308.445446,471193.451289,5443159.66095,12159331.8589,2064813.16024,9359063.98122,1071084.04617,2656161.06127,1876097.75547,,,2585858.67791
2068,228841.366254,1838862.07823,4270059.07522,7519549.67234,140565.278469,559075.250398,34739365.8018,5811458.82339,269410.541574,711361.444648,14330931.6328,1412607.66654,702639.107669,463253.372302,5350778.57322,11951212.2879,2030348.92814,9203226.19145,1047017.89642,2613524.97549,1845306.63215,,,2538173.64792
2069,228841.366254,1808456.74859,4201048.39511,7395577.72575,135768.130194,549722.233709,34150532.233,5699565.52453,263972.489872,699792.327185,14101487.4527,1381646.2462,691243.270028,455499.388937,5260562.66748,11747970.5199,1996692.45158,9051040.85031,1023515.79711,2571888.17309,1815237.17587,,,2491606.23596
2070,228841.366254,1778764.04395,4133655.15301,7274511.37201,131083.415095,540588.428373,33575499.4526,5590294.72517,258661.892522,688494.360945,13877420.8712,1351410.48424,680114.522362,447927.139578,5172461.19728,11549492.2315,1963824.79879,8902422.35351,1000564.52833,2531227.23335,1785872.47255,,,2446130.24784
