year,Base case cost,Modeled diesel efficiency
2019,136933.474736,309844.039854
2020,146681.281412,314361.329252
2021,153179.819196,316026.558612
2022,158285.81317,316525.273402
2023,161999.263332,315855.143141
2024,164784.350954,314435.874906
2025,168497.801116,313953.178079
2026,172675.432549,313982.899243
2027,176388.882711,313678.952872
2028,179173.970333,312617.286088
2029,183351.601765,312905.792416
2030,185672.508117,311588.617026
2031,190314.32082,312461.678903
2032,194491.952253,312991.197703
2033,199133.764955,314019.300888
2034,203775.577658,315122.210191
2035,207024.84655,315032.223379
2036,211666.659253,316279.526131
2037,214451.746875,315908.565604
2038,219557.740848,317715.555688
