year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,3774172.0,3255079.76156
2018,3777292.0,3258199.76156
2019,3779630.0,3260537.76156
2020,3778072.0,3258979.76156
2021,3777291.0,3258198.76156
2022,3773389.0,3254296.76156
2023,3767927.0,3248834.76156
2024,3763236.0,3244143.76156
2025,3756211.0,3237118.76156
2026,3747628.0,3228535.76156
2027,3738258.0,3219165.76156
2028,3728891.0,3209798.76156
2029,3719523.0,3200430.76156
2030,3708591.0,3189498.76156
2031,3695324.0,3176231.76156
2032,3681270.0,3162177.76156
2033,3667221.0,3148128.76156
2034,3653167.0,3134074.76156
2035,3638338.0,3119245.76156
2036,3621946.0,3102853.76156
