year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2021,0.0,1012467.35914,569043.08966,258695.655677,3946371.56569,27086274.7735,12028545.864,842314.195158,1013826.36717,21992704.6407,3238542.90962,5385851.31297,11134352.7324,1492883.77252,772028.615333,18242085.9549,31700783.0248
2022,0.0,991045.776075,548680.017116,253679.918661,3863405.18853,26512398.3715,11769601.8215,825323.389303,978533.801548,21527541.8619,3170754.0423,5272479.44163,10899099.3501,1461933.0188,756171.446447,17827730.1676,31025174.5735
2023,0.0,970570.25332,531076.502773,248783.402943,3783984.43813,25964043.2291,11523087.5229,808897.302431,947893.584607,21082887.9496,3105795.48907,5163984.68331,10674163.0258,1432207.16432,740907.925928,17438019.7623,30380496.422
2024,0.0,950559.188728,513806.219285,244001.591401,3706369.44372,25428120.4696,11282129.7503,792850.41309,917838.502991,20648321.6064,3042316.23646,5057955.58634,10454331.6431,1403160.643,725994.425697,17056923.9673,29750403.0603
2025,0.0,931001.696771,496861.356703,239331.795707,3630517.88374,24904338.7147,11046598.2752,777173.834011,888354.842854,20223606.4096,2980281.61402,4954334.36292,10239485.5574,1374777.53329,711422.742311,16684240.8814,29134552.664
2026,0.0,911698.964728,479266.956019,234770.68479,3555709.81444,24387297.2085,10813669.9738,761788.31772,857807.9434,19804439.7937,2919131.55899,4852123.66792,10027472.086,1346830.58158,697090.773364,16313443.7225,28526213.2219
2027,0.0,892922.884026,462466.566669,230316.75329,3482922.79275,23884392.3593,10587264.562,746791.240743,828616.627626,19396703.7965,2859622.31187,4752679.75383,9821230.88087,1319622.1605,683131.831683,15953834.3476,27934656.0168
2028,0.0,874663.3168,446452.915125,225967.497525,3412117.4039,23395352.802,10367260.756,732174.326221,800768.123612,19000178.2336,2801721.58353,4655948.80195,9620650.51499,1293137.44206,669538.277274,15605224.7232,27359562.7023
2029,0.0,856628.089206,429767.900095,221719.41384,3342237.23543,22912239.2185,10149496.1918,717823.63846,771818.056091,18608540.5533,2744608.5339,4560466.88683,9422568.40875,1267044.38781,656161.512275,15257936.8007,26791025.0925
2030,0.0,839372.079147,415306.580728,217572.231588,3275280.53738,22450141.4124,9941943.03661,703942.988839,746618.048869,18233795.8047,2689830.98178,4469005.41358,9232985.81371,1241963.97107,643276.523686,14930780.0817,26247934.1567
2031,0.0,822039.025351,398709.189103,213520.443343,3208156.84176,21985783.7461,9732356.58161,690207.111351,717860.500497,17857416.3652,2634990.93593,4377280.16122,9042637.67523,1216929.70991,630452.786258,14595096.2011,25701201.545
2032,0.0,805184.25342,382871.105576,209563.889024,3142866.13919,21534268.0072,9528714.35004,676820.182889,690397.598803,17491417.0075,2581637.64107,4288064.91154,8857530.16559,1192563.23245,617965.624379,14269702.9642,25169732.285
2033,0.0,788610.576925,366818.537937,205699.639194,3078694.80878,21090236.9713,9328212.67408,663704.283735,662596.731828,17131530.4875,2529216.21416,4200370.95289,8675528.47709,1168639.66377,605714.161231,13948103.7526,24646845.4341
2034,0.0,772403.293415,351028.843162,201925.875028,3015947.96906,20656013.3589,9132094.32548,650887.518769,635257.455357,16779601.6586,2477961.75,4114622.05861,8497553.87858,1145251.99461,593738.815479,13633300.272,24135463.9567
2035,0.0,756836.088506,336946.85795,198241.534266,2955610.15255,20239041.6044,8944300.485,638468.729345,610800.852753,16441551.5267,2428636.20358,4032184.00598,8326565.74222,1122705.22186,582174.252069,13334627.6576,23644915.4763
2036,0.0,741241.939071,321180.904006,194642.075986,2895273.61022,19821190.5386,8755295.02257,626194.079959,583541.921093,16102947.0844,2379371.15141,3949719.09076,8155346.46015,1100246.11309,570684.832666,13029776.7408,23152542.9957
2037,0.0,726459.474824,308078.099282,191128.653263,2837960.26075,19425263.8466,8577111.71271,614374.441686,560766.049172,15781933.0145,2332508.42815,3871417.93356,7992967.29538,1078815.36168,559687.795201,12747078.8624,22686881.2034
2038,0.0,711539.787889,292796.046222,187695.762548,2780245.94537,19025466.4545,8396175.15459,602650.443652,534356.821243,15457977.2267,2285391.54103,3792533.52625,7829161.14971,1057342.74595,548706.657442,12454737.6439,22215688.012
2039,0.0,697227.796383,279198.469045,184344.297779,2724814.75142,18642054.1038,8223175.68985,591297.982569,510789.470098,15147196.8057,2240100.43117,3716788.04858,7671985.53704,1036663.66185,538111.897745,12177926.6598,21764310.9299
2040,0.0,682951.32704,264377.899849,181070.258279,2669601.18663,18259474.0372,8049934.23888,580099.126609,485190.582829,14837211.064,2195032.19398,3641318.27984,7515249.10948,1016131.83925,527615.495155,11897515.62,21313315.8836
2041,0.0,670020.20584,255100.318111,177876.744375,2619326.58363,17913340.2769,7895233.30355,569541.772622,468899.652012,14556359.9764,2153846.53482,3572671.05079,7373120.8735,997218.317566,517870.473705,11657673.6325,20907256.3089
2042,0.0,657392.157792,246040.179695,174758.078454,2570230.29164,17575319.0266,7744158.17139,559231.856618,452990.539886,14282091.3361,2113626.16454,3505632.74116,7234323.76805,978748.081546,508353.851195,11423452.9415,20510713.7554
2043,0.0,645060.079505,237192.38819,171712.506236,2522284.69354,17245220.1463,7596623.86126,549163.579177,437454.297428,14014250.8645,2074348.45883,3440165.6413,7098779.71849,960710.741513,499060.274437,11194721.7959,20123465.1644
2044,0.0,633017.034385,228551.966858,168738.314638,2475462.82072,16922857.9607,7452547.38751,539331.277055,422282.185759,13752687.9058,2035991.32461,3376232.92703,6966412.4835,943096.15176,489984.515948,10971351.538,19745292.7149
2045,0.0,621256.248152,220114.055413,165833.83066,2429738.33561,16608051.1392,7311847.70632,529729.419528,407465.670477,13497255.3293,1998533.18577,3313798.63584,6837147.60576,925894.403977,481121.47056,10753216.5209,19375983.6827
2046,0.0,609771.10534,211873.907512,162997.420523,2385085.51809,16300622.6025,7174445.67382,520352.605532,392996.417264,13247809.4536,1961952.97204,3252827.64831,6710912.37352,909095.822148,472466.152794,10540194.043,19015330.3307
2047,0.0,598555.145604,203826.888108,160227.488759,2341479.25115,16000399.4232,7040264.00195,511195.560647,378866.287225,13004209.9666,1926230.10721,3193285.66853,6587635.77999,892690.957142,464013.694069,10332164.2803,18663129.793
2048,0.0,587602.059831,195968.470654,157522.477247,2298895.00572,15707212.7222,6909227.21191,502253.133926,365067.331992,12766319.8405,1891344.49672,3135139.2034,6467248.4806,876670.581023,455759.339776,10129010.2134,18319183.9524
2049,0.0,576905.687041,188294.234885,154880.864452,2257308.82868,15420897.5854,6781261.59706,493520.29536,351591.789817,12534005.2651,1857276.51784,3078355.54624,6349682.75893,861025.682521,447698.446938,9930617.57067,17983299.3436
2050,0.0,566460.010499,180799.864023,152301.164459,2216697.32771,15141292.9599,6656295.17642,484992.132706,338432.080673,12307135.5626,1824007.00725,3022902.75609,6234872.48397,845747.461342,439826.481283,9736874.75564,17655287.0307
2051,0.0,556259.154513,173481.142488,149781.926188,2177037.65884,14868241.5682,6534257.65642,476663.848875,325580.80223,12085583.1192,1791517.25085,2968749.64079,6122753.07497,830827.323491,432139.014833,9547672.78808,17334962.5067
2052,0.0,546297.381049,166333.95346,147321.732554,2138307.5133,14601589.8173,6415080.39031,468530.759163,313030.725573,11869223.3102,1759788.97299,2915865.7389,6013261.46417,816256.876312,424631.723347,9362905.24088,17022145.5874
2053,0.0,536569.08673,159354.276732,144919.199728,2100485.10586,14341187.7191,6298696.34233,460588.288806,300774.791439,11657934.436,1728804.32689,2864221.30389,5906336.06388,802027.924105,417300.384066,9182468.18454,16716660.3173
2054,0.0,527068.799245,152538.186131,142572.976249,2063549.16084,14086888.7932,6185040.04471,452831.970046,288806.10568,11451597.6434,1698545.88324,2813787.28499,5801916.72695,788132.462871,410140.873,9006260.12053,16418334.8561
2055,0.0,517791.174754,145881.847658,140281.742384,2027478.90206,13838549.9986,6074047.56662,445257.440011,277117.936001,11250096.8695,1668996.62187,2764535.31343,5699944.71829,774562.676519,403149.16298,8834181.93311,16127001.3981
2056,0.0,508730.994591,139381.517121,138044.209314,1992254.03998,13596031.6447,5965656.4748,437860.438028,265703.707804,11053318.7701,1640139.92133,2716437.68498,5600362.67864,761310.93204,396321.321167,8666136.8283,15842496.0681
2057,0.0,499883.162374,133033.538061,135859.118419,1957854.76051,13359197.3139,5859805.79887,430636.803256,254557.000547,10861152.6568,1611959.54963,2669467.34456,5503114.59274,748369.775283,389653.506875,8502030.28013,15564658.831
2058,0.0,491242.701305,126834.339818,133725.240611,1924261.71445,13127913.7899,5756435.99912,423582.47249,243671.544342,10673490.4385,1584439.65564,2623597.87191,5408145.75974,735731.927005,383141.969542,8341769.98067,15293333.4067
2059,0.0,482804.750978,120780.435238,131641.375549,1891456.00517,12902050.9717,5655488.92828,416693.477549,233041.215936,10490226.5521,1557564.75896,2578803.46469,5315402.75805,723390.278203,376783.046316,8185265.7808,15028367.1699
