year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,3774172.0,3302269.96505
2018,3777292.0,3305389.96505
2019,3779630.0,3307727.96505
2020,3778072.0,3306169.96505
2021,3777291.0,3305388.96505
2022,3773389.0,3301486.96505
2023,3767927.0,3296024.96505
2024,3763236.0,3291333.96505
2025,3756211.0,3284308.96505
2026,3747628.0,3275725.96505
2027,3738258.0,3266355.96505
2028,3728891.0,3256988.96505
2029,3719523.0,3247620.96505
2030,3708591.0,3236688.96505
2031,3695324.0,3223421.96505
2032,3681270.0,3209367.96505
2033,3667221.0,3195318.96505
2034,3653167.0,3181264.96505
2035,3638338.0,3166435.96505
2036,3621946.0,3150043.96505
