year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,1810931.11245,1340089.02322
2018,1810931.11245,1340089.02322
2019,1810931.11245,1340089.02322
2020,1810931.11245,1340089.02322
2021,1810931.11245,1340089.02322
2022,1810931.11245,1340089.02322
2023,1810931.11245,1340089.02322
2024,1810931.11245,1340089.02322
2025,1810931.11245,1340089.02322
2026,1810931.11245,1340089.02322
2027,1810931.11245,1340089.02322
2028,1810931.11245,1340089.02322
2029,1810931.11245,1340089.02322
2030,1810931.11245,1340089.02322
2031,1810931.11245,1340089.02322
