year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,101364000,3002
2004,,0,0,0,0,88364999,220000
2005,,0,0,0,0,92116000,94000
2006,,0,0,0,0,101017000,127999
2007,,0,0,0,0,112531001,0
2008,,0,0,0,0,116878000,0
2009,,0,0,0,0,116523000,0
2010,,0,0,0,0,116523000,0
2011,,0,0,0,0,115150000,1386000
2012,,0,0,0,0,113638000,1820000
2013,,0,0,0,0,113244000,151000
2014,,0,0,0,0,111499000,251000
2015,start of forecast,0,0,0,0,111105000,0
2016,,0,0,0,0,111007000,0
2017,,0,0,0,0,110927000,0
2018,,0,0,0,0,110856000,0
2019,,0,0,0,0,110810000,0
2020,,0,0,0,0,110838000,0
2021,,0,0,0,0,110859000,0
2022,,0,0,0,0,110952000,0
2023,,0,0,0,0,111078000,0
2024,,0,0,0,0,111207000,0
2025,,0,0,0,0,111375000,0
2026,,0,0,0,0,111573000,0
2027,,0,0,0,0,111804000,0
2028,,0,0,0,0,112032000,0
2029,,0,0,0,0,112259000,0
2030,,0,0,0,0,112530000,0
2031,,0,0,0,0,112840000,0
2032,,0,0,0,0,113187000,0
2033,,0,0,0,0,113519000,0
2034,,0,0,0,0,113866000,0
2035,,0,0,0,0,114216000,0
2036,,0,0,0,0,114609000,0
2037,,0,0,0,0,115011000,0
2038,,0,0,0,0,115438000,0
2039,,0,0,0,0,115869000,0
2040,,0,0,0,0,116304000,0
