year,Base case cost,Modeled biomass for heat (cordwood)
2017,10082033.2923,11227255.0171
2018,11299101.2608,12266384.0071
2019,12969132.1744,13702478.8777
2020,13757181.2929,14365745.8074
2021,14283158.1594,14800575.5673
2022,14721210.1162,15157506.29
2023,14963655.9788,15343000.0746
2024,15208453.0216,15531405.6394
2025,15442997.496,15710106.0969
2026,15744996.5288,15947357.702
2027,16004690.7703,16147545.6355
2028,16225609.9857,16314187.4262
2029,16519603.8598,16544963.7476
2030,16656480.8644,16637985.524
2031,16966426.8792,16880956.0557
2032,17233214.7227,17085951.1537
2033,17534168.9128,17320846.4273
2034,17832288.8963,17553349.7296
2035,18014587.4143,17684620.4981
2036,18331839.3841,17932390.3855
