year,Base case diesel consumed,Modeled residential ashp
2017,2893.12930134,-7988.60034236
2018,2893.12930134,-7988.60034236
2019,2893.12930134,-7988.60034236
2020,2893.12930134,-7988.60034236
2021,2893.12930134,-7988.60034236
2022,2893.12930134,-7988.60034236
2023,2621.26506444,-8260.46457927
2024,2621.26506444,-8260.46457927
2025,2621.26506444,-8260.46457927
2026,2621.26506444,-8260.46457927
2027,2621.26506444,-8260.46457927
2028,2621.26506444,-8260.46457927
2029,2621.26506444,-8260.46457927
2030,2621.26506444,-8260.46457927
2031,2621.26506444,-8260.46457927
