year,annotation,Average Load
2003,,137.0
2004,,135.0
2005,,131.0
2006,,136.0
2007,,135.0
2008,,132.0
2009,,128.0
2010,,127.0
2011,,130.0
2012,,141.0
2013,,145.0
2014,,150.0
2015,,162.0
2016,start of forecast,152.0
2017,,154.0
2018,,157.0
2019,,159.0
2020,,161.0
2021,,163.0
2022,,165.0
2023,,167.0
2024,,168.0
2025,,170.0
2026,,172.0
2027,,175.0
2028,,177.0
2029,,178.0
2030,,180.0
2031,,182.0
2032,,184.0
2033,,186.0
2034,,188.0
2035,,190.0
2036,,192.0
2037,,194.0
2038,,196.0
2039,,198.0
2040,,201.0
