year,Base case cost,Modeled water and wastewater efficiency
2017,95335.1233726,108088.824874
2018,101661.831512,111574.435673
2019,110113.563948,116572.435385
2020,114169.647879,118508.186202
2021,117306.720613,119820.510118
2022,119449.038144,120454.685042
2023,121190.8141,120827.794823
2024,122552.931569,120954.3158
2025,124117.261698,121242.503266
2026,126084.636761,121833.059107
2027,127797.987778,122265.595576
2028,129220.174401,122510.475834
2029,131169.380314,123142.55003
2030,132395.674164,123284.887469
2031,134389.142471,123982.902469
